Rank,Name,Pay,Salary/Winnings,Endorsements,Sport
88,Philip Rivers,$23.40 ,$23 ,$0.40 ,Football   
89,Ezekiel Elliott,$23.30 ,$21.30 ,$2.00 ,Football   
89,Paul Millsap,$23.30 ,$22.80 ,$0.50 ,Basketball   
91,Ben Roethlisberger,$23 ,$22 ,$1.00 ,Football   
92,Andrus Peat,$22.70 ,$22.60 ,$0.05 ,Football   
93,Andre Drummond,$22.60 ,$21.60 ,$1.00 ,Basketball   
94,D.J. Reader,$22.40 ,$22.30 ,$0.08 ,Football   
94,Quinnen Williams,$22.40 ,$22.20 ,$0.20 ,Football   
96,Bradley Beal,$22.30 ,$20.30 ,$2.00 ,Basketball   
97,Cam Newton,$22.20 ,$16.70 ,$5.50 ,Football   
98,Calais Campbell,$22.10 ,$22 ,$0.10 ,Football   
99,Derek Carr,$22 ,$20 ,$2.00 ,Football   
100,Sergio Ramos,$21.80 ,$18.80 ,$3.00 ,Soccer   
